2026-06-17 00:16:49 | ПК | Створено Heart з пульсом: 40 | message
2026-06-17 00:16:49 | ПК | Створено Amphibian: Жаба трав'яна | message
2026-06-17 00:16:49 | ПК | Створено Heart з пульсом: 35 | message
2026-06-17 00:16:49 | ПК | Створено Amphibian: Ропуха сіра | message
2026-06-17 00:16:49 | ПК | Створено Heart з пульсом: 30 | message
2026-06-17 00:16:49 | ПК | Створено Amphibian: Саламандра плямиста | message
2026-06-17 00:16:49 | ПК | Створено Heart з пульсом: 40 | message
2026-06-17 00:16:49 | ПК | Створено Amphibian: Жаба трав'яна | message
2026-06-17 00:16:49 | ПК | Створено Heart з пульсом: 25 | message
2026-06-17 00:16:49 | ПК | Створено Amphibian: Тритон звичайний | message
2026-06-17 00:16:49 | ПК | Створено Heart з пульсом: 45 | message
2026-06-17 00:16:49 | ПК | Створено Amphibian: Квакша звичайна | message
